date,ticker,open,close,high,low,volume
2024-07-18,AAPL,230.28,224.18,230.44,222.27,66034585
2024-07-17,AAPL,229.45,228.88,231.46,226.64,57345884
2024-07-16,AAPL,235.0,234.82,236.27,232.33,43234278
2024-07-15,AAPL,236.48,234.4,237.23,233.09,62631252
2024-07-12,AAPL,228.92,230.54,232.64,228.68,53046527
2024-07-11,AAPL,231.39,227.57,232.39,225.77,64710617
2024-07-10,AAPL,229.3,232.98,233.08,229.25,62627687
2024-07-18,NVDA,121.85,121.09,122.4,116.56,320979530
2024-07-17,NVDA,121.35,117.99,121.85,116.72,390086189
2024-07-16,NVDA,128.44,126.36,129.04,124.58,214769515
2024-07-15,NVDA,130.56,128.44,131.39,127.18,208326164
2024-07-12,NVDA,128.26,129.24,131.92,127.22,252680535
2024-07-11,NVDA,135.75,127.4,136.15,127.05,374782738
2024-07-10,NVDA,134.03,134.91,135.1,132.42,248978569
